0 0 1.38016 1
0.1 0 1.44911 1
0.2 0 1.52299 1
0.3 0 1.60223 1
0.4 0 1.68733 1
0.5 0 1.77882 1
0.6 0 1.87726 1
0.7 0 1.98331 1
0.8 0 2.09766 1
0.9 0 2.22107 1
1 0 2.35437 1
1.1 0 2.49846 1
1.2 0 2.65428 1
1.3 0 2.82288 1
1.4 0 3.00532 1
1.5 0 3.20273 1
1.6 0 3.41623 1
1.7 0 3.64693 1
1.8 0 3.89586 1
1.9 0 4.1639 1
2 0 4.45168 1
2.1 0 4.75942 1
2.2 0 5.0868 1
2.3 0 5.43272 1
2.4 0 5.79501 1
2.5 0 6.17026 1
2.6 0 6.55348 1
2.7 0 6.93796 1
2.8 0 7.31525 1
2.9 0 7.67531 1
3 0 8.00697 1
3.1 0 8.29863 1
3.2 0 8.53914 1
3.3 0 8.71869 1
3.4 0 8.82965 1
3.5 0 8.86719 1
3.6 0 8.82965 1
3.7 0 8.71869 1
3.8 0 8.53914 1
3.9 0 8.29863 1
4 0 8.00697 1
4.1 0 7.67531 1
4.2 0 7.31525 1
4.3 0 6.93796 1
4.4 0 6.55348 1
4.5 0 6.17026 1
4.6 0 5.79501 1
4.7 0 5.43272 1
4.8 0 5.0868 1
4.9 0 4.75942 1
5 0 4.45168 1
5.1 0 4.1639 1
5.2 0 3.89586 1
5.3 0 3.64693 1
5.4 0 3.41623 1
5.5 0 3.20273 1
5.6 0 3.00532 1
5.7 0 2.82288 1
5.8 0 2.65428 1
5.9 0 2.49846 1
6 0 2.35437 1
6.1 0 2.22107 1
6.2 0 2.09766 1
6.3 0 1.98331 1
6.4 0 1.87726 1
6.5 0 1.77882 1
6.6 0 1.68733 1
6.7 0 1.60223 1
6.8 0 1.52299 1
6.9 0 1.44911 1
7 0 1.38016 1
7.1 0 1.31575 1
7.2 0 1.2555 1
7.3 0 1.19909 1
7.4 0 1.14622 1
7.5 0 1.09661 1
7.6 0 1.05002 1
7.7 0 1.00621 1
7.8 0 0.964979 1
7.9 0 0.926136 1
8 0 0.889507 1
8.1 0 0.854935 1
8.2 0 0.822274 1
8.3 0 0.79139 1
8.4 0 0.762161 1
8.5 0 0.734475 1
8.6 0 0.708228 1
8.7 0 0.683326 1
8.8 0 0.65968 1
8.9 0 0.63721 1
9 0 0.615841 1
9.1 0 0.595504 1
9.2 0 0.576136 1
9.3 0 0.557677 1
9.4 0 0.540072 1
9.5 0 0.523271 1
9.6 0 0.507227 1
9.7 0 0.491895 1
9.8 0 0.477235 1
9.9 0 0.46321 1
